Abdon	30/Jul.
Epipodius etc. mm. Lugdun.	27/Avril.;26/Avril.;24/Avril.
Epipodius m. Lugdun.	22/Avril.
Eraclius	18/Dec.
Erasmi ep. m.	12/Jul.
Erasmus ep. m. Formiis	02/Jun.;03/Jun.
Erasmus m. Antioch.	25/Nov.
Erentrudis abb. (Depos.)	30/Jun.;04/Sept.
Erhardi ep. Ratisb.	08/Jan.
Erici r. Suec. m.	18/Mai.
Erici r. Suec. m. (Tr.)	24/Jan.
Ermelandus ab. Antr.	26/Mars.
Ermenfridus ab. in Burgund.	25/Sept.
Esaie pph.	06/Jul.
Eskilli ep. Strengn. m.	12/Jun.;11/Jun.
Eskilli ep. Strengn. m. (Oct.)	18/Jun.
Ethelbertus r. Angl. Orient.	20/Mai.
Etheldrede v.	23/Jun.
Etherius ep. Autissiod.	26/Jul.;27/Jul.
Etho ep.	10/Jul.
Eucharius ep. Trever.	08/Dec.
Eucharius ep. [Traiect.?]	21/Fev.
Eucherius ep. Lugdun.	16/Nov.
Eudaldus m.	05/Oct.
Eudonius ab. Calmeliac.	20/Nov.
Eugei r.	29/Jul.
