Abdon	30/Jul.
Rufina mm. Hispal.	16/Jul.;17/Jul.
Rufinus m. Syrac.	21/Jun.
Rufus	14/Jun.;27/Août.
Rufus ep. Avenion.	14/Nov.
Rufus ep. Narbon.	21/Nov.
Rufus m. Aleth.	28/Nov.
Rufus m. Alexand.	23/Jun.
Rufus m. Melit.	19/Avril.
Rumoldi ep. Dublin. m.	27/Oct.
Rupertus ep. Sarisb.	27/Mars.
Rupertus ep. Wormat.	24/Sept.
Rustici	25/Jul.;27/Jul.
Rustici ep. Trever.	14/Oct.
Rusticiani m.	17/Oct.
Rusticula ab. Arelat.	11/Août.
Rusticula ab. Arelat.(Oct.)	18/Août.
Rusticus ep. Lugdun.	25/Avril.
Sabas ab. in Cappad.	05/Dec.
Sabina	27/Oct.
Sabina v. m. Rom.	29/Août.
Sabina v. Trec.	29/Jan.
Sabine v.	31/Mars.
Sabini m.	09/Jul.
Sabinus ep. Canus.	09/Fev.
Sabinus m. in Graec.	25/Oct.
Sacerdos ep. Lemovic.	05/Mai.
Salvatoris (Dedic. basil. Rom.)	09/Nov.
Salvianus	08/Mai.
Salvinus ep. Virdun.	04/Sept.
Salvius ep. Albig.	10/Sept.
Salvius ep. Albig. (Elev.)	22/Mars.
Salvius ep. Albig. (Oct.)	16/Sept.
Salvius m. Valencen.	26/Jun.
Samson ep. Dol.	28/Jul.
Sanctorum omnium	01/Nov.
Sanctorum omnium (Oct.)	08/Nov.
Sarius pb. Camerac.	23/Nov.
Saturnina v. m. Atrebat.	22/Mai.
Saturnini m.	06/Jun.
Saturninus	31/Jan.;29/Nov.;06/Mars.
Saturninus ep.	09/Jan.
Saturninus ep. Tolos. m. (Revel.)	25/Jun.
Saturninus m. Antioch.	05/Mars.
Satyrus cf. Mediolan.	17/Sept.
Satyrus m. in Achaia	12/Jan.
Savinianus	25/Août.;19/Oct.
Savinianus ab. Vellav.	08/Jun.
Savinus ep. m. Sen.	07/Dec.
Savinus m. Pictav. [soc. Cypriani]	11/Jul.
Scariberga vid.	03/Oct.
Scholastica v.	10/Fev.
Sebastiani m. (Oct.)	27/Jan.
Sebastianus m. [soc. Fabiani?] (Inv.)	13/Oct.
Sebastianus mm. Rom.	20/Jan.;30/Jan.
Secunda vv.m m. Rom.	10/Jul.
Secundi ep. m.	28/Mars.
Secundianus	09/Août.
Secundina v. m. Anagn.	15/Jan.
Secundinus	05/Jul.;21/Fev.
Secundinus m. Cordub.	21/Mai.;20/Mai.
Secundinus m. Spir.	15/Nov.
Secundus m. Ast.	30/Mars.
Secundus m. [e Leg. Theb.?]	26/Août.
Segolena v. Albig.	24/Jul.
Sempronius m. Rom.	03/Dec.
Sennen mm. Rom.	30/Jul.;24/Mars.
Sequanus ab. Lingon.	26/Sept.
Serapion m. Alexand.	14/Nov.
Serapion m. in Aeg.	30/Oct.
Serapionis m.	28/Fev.
Serenicus d. Sag.	09/Mai.;07/Mai.
Serenus pb.in Campania	02/Oct.
Sergius	07/Oct.;07/Jun.
Seronius cf. Xanton.	20/Août.
Servandus	23/Oct.;12/Avril.
Servatius ep. Tungr.	13/Mai.
Servulus cf. Rom.	23/Dec.
Servulus m. in Istria	24/Mai.
Severinus ab. Agaun.	11/Fev.
Severinus ab. in Norico	08/Jan.
Severinus ep. Burdigal.	22/Oct.
Severinus ep. Colon.	24/Oct.
Severinus ep. Scythop.	20/Fev.
Severinus mon. Paris.	24/Nov.
Severius ep. Barcinon.	19/Jul.
Severus	02/Dec.;11/Jan.
Severus ab. Agath.	24/Août.
Severus ep. Cesen.	06/Jul.
Sidonius ep. Arvern.	23/Août.
Sidronius m.	03/Jul.
Sifredus ep. Carpentorac.	27/Nov.
Sigismundi r. Burgund. m. (Tr.)	05/Sept.
Sigismundus r.	01/Mai.;02/Mai.;30/Avril.
Silas ap.	13/Jul.;12/Jul.;14/Jul.;28/Nov.
Silvanus ep. Gaz. m.	04/Mai.
Silverius pp. m.	20/Jun.
Silvester ep. Cabilon.	20/Nov.
Silvester pp.	30/Dec.;31/Dec.;07/Jan.
Silvinus ep.	15/Fev.
Silvinus ep. Morin.	14/Fev.
Simeon ep. Hierosol. m.	18/Fev.
Simeon ep. m. in Pers.	21/Avril.
Simeon Iustus cf.	18/Mars.
Simeon m. [in Pers.?]	19/Avril.
Simeon pph.	02/Fev.;08/Oct.
Simeon recl. Trever.	01/Jun.
Simeon Stylita	05/Jan.
Simon	28/Oct.
Simplicianus [vel Sulpicianus] m. Pictav.	31/Mai.
Simplicii cf.	14/Jan.
Simplicius etc. mm. Rom.	29/Jul.
Simplicius pp.	02/Mars.
Sindulfus cf. Rem.	20/Oct.
Sinicius ep. Rem.	01/Sept.
Sirenius m. Sirm.	23/Fev.
Sirenius m. Sirm. (Tr.)	10/Mai.
Sisinnii m.	22/Jul.
Sisinnius	14/Mai.;29/Mai.
Siviardus ab. Anisol.	01/Mars.
Sixtus pp. II	06/Août.
Sixtus pp. [I] m.	03/Avril.;06/Avril.;05/Avril.;02/Avril.
Smaragdus mm.	08/Août.
soc. m.	01/Dec.;05/Oct.;12/Dec.;05/Jun.;13/Mars.;05/Août.
soc. m. (Oct.)	12/Jun.
soc. m. Foroiul.	21/Août.
soc. m. [al. Cyriaci]	16/Mars.
soc.] m.	12/Nov.;16/Nov.
Solinus ab. in Armor.	01/Oct.
Sollemnis ep. Carnot.	24/Sept.
Sophia v.	31/Jul.
Sophia v. m. Firm.	29/Avril.
Sophie v. m.	23/Mars.
Sorus er. Petragor.	01/Fev.
Sospitius cf.	19/Fev.
Soter	06/Fev.;08/Fev.
Soter pp.	24/Avril.;22/Avril.;20/Avril.
Spacius m. Baioc.	10/Nov.
Speciose v.	15/Oct.
Speratus	17/Jul.
Spes	01/Août.;15/Mai.;01/Jul.
Speusippus	18/Sept.
ss. mm.	11/Oct.;12/Oct.;15/Dec.;04/Dec.;07/Août.;14/Dec.;17/Oct.;10/Dec.
ss. mm.  August.	12/Août.
ss. mm. (Tr.)	17/Mai.
ss. mm. Alexand.	26/Fev.;27/Fev.
ss. mm. Ambian.	11/Dec.
ss. mm. in Aeg.	25/Fev.
ss. mm. in Afr.	06/Sept.
ss. mm. in Ital.	17/Fev.;16/Fev.
ss. mm. Leg. Theb.	22/Sept.
ss. mm. Lugdun.	23/Avril.;28/Jun.;04/Août.;27/Jun.
ss. mm. Massil.	20/Jul.;21/Jul.
ss. mm. Massil. (Pedis recept.)	23/Jul.
ss. mm. Massil. (Tr.)	24/Jan.;17/Jun.
ss. mm. Neapol.	19/Sept.
ss. mm. Nicomed.	02/Sept.;03/Sept.;27/Jul.;19/Dec.
ss. mm. OFM	16/Jan.
ss. mm. Paris.	09/Oct.
ss. mm. Paris. (Inv.)	09/Jun.
ss. mm. Rom.	13/Août.;26/Jul.
ss. mm. Tolon.	19/Août.
ss. mm. Trec	07/Sept.
ss. X mil. mm.	22/Jun.;23/Jun.
ss. XL mm. Eleuth.	16/Dec.
ss. XVIII vv. mm.	15/Avril.
Stanislai ep. Cracov. m. (Occisio)	11/Avril.
Stanislai ep. Cracov. m. (Tr.)	27/Sept.
Stanislaus ep.	06/Oct.
Stephani protom. (Oct.)	02/Jan.
Stephanus (Ded. eccl.)	26/Oct.
Stephanus ep. Lugdun.	13/Fev.;07/Fev.
Stephanus ep. [Lugdun.?]	12/Fev.
Stephanus mm. OFM	16/Oct.
Stephanus pp. m.	02/Août.
Stephanus protom.	26/Dec.
Stephanus protom. (Costae adv.)	09/Sept.
Stephanus protom. (Cubitus adv.)	10/Oct.
Stephanus protom. (Inv.)	03/Août.
Stephanus protom. (Tr.)	06/Mai.;18/Nov.;19/Nov.
Stephanus r. Hungar. (Dext. inv.)	30/Mai.
Sulpicius ep. Biturig.	18/Jan.;17/Jan.
Sulpicius ep. Biturig. (Tr.)	28/Août.;27/Août.
Sulpitii	04/Oct.
Sulpitius ep. cf.	21/Oct.
Susanna mm. Rom.	11/Août.
Swithuni ep. Winton. (Tr.)	16/Jul.
Swithunus ep. Winton.	02/Jul.
Swithunus ep. Winton. (Inv.)	08/Jul.
Swithunus ep. Winton. (Tr.)	15/Jul.
Symonis	04/Nov.
Symphorianus mm.	22/Août.
Symphorosa	18/Jul.
Syrici pp.	26/Nov.
Syrus ep. Pap. (Depos.)	09/Dec.
Syrus ep. Pap. (Tr.)	12/Mai.
Syrus ep. Patav.	12/Sept.
Tancha v. Trec.	10/Oct.
Tarachus	11/Oct.
Tarachus ep.	14/Jul.
Tarsicia v. Ruthen.	15/Jan.
Tatiana m.	09/Fev.
Tatiani d. m.	16/Mars.
Tatianus d. m. Aquil.	10/Mars.
Taurinus ep. Ebroic. (Inv.)	05/Sept.
Telesphorus pp.	02/Jan.
Terentianus ep. m. Tudert.	01/Sept.
Terentii m.	27/Sept.
Tertullini m.	31/Jul.
Tertullinus pb. m. Rom.	04/Août.
Tetricus ep. Autissiod.	12/Avril.
Thecla v. m. Seleuc.	23/Sept.;12/Sept.
Thecla v. Rusbac.	21/Fev.;23/Fev.;20/Fev.
Thecle v. m.	01/Jun.
Theobaldi cf.	03/Oct.
Theobaldus (Tr.)	06/Mai.
Theobaldus cf. Lemovic.	09/Jul.;01/Jul.;08/Jul.
Theodardus ep. Narbon.	01/Mai.
Theodardus ep. Traiect.	10/Sept.
Theodegari cf.	30/Oct.
Theodora v.	16/Jul.
Theodoretus pb. m. Antioch.	23/Oct.
Theodori ep. Sedun.	26/Août.
Theodorus ep. m.	19/Mars.
Theodorus m.	21/Août.
Theodorus pb. Antioch.	23/Mars.
Theodorus [ep. Cantuar.?]	19/Sept.
Theodosia v.	22/Jul.
Theodosia v. m. Caesar.	03/Avril.;02/Avril.
Theodosie v.	07/Fev.
Theodosius ep. Autissiod.	17/Jul.
Theodosius m. Heracl.	14/Nov.
Theodula v.	01/Avril.
Theoduli m.	04/Mai.
Theodulus	03/Mai.;28/Nov.
Theofredus	20/Nov.
Theofredus ab. (Tr.)	22/Jun.
Theofredus m. Vellav.	18/Nov.;17/Nov.
Theophili ep. Antioch.	13/Oct.
Theophili m.	06/Fev.
Theopista etc. mm. Rom.	02/Nov.;04/Nov.;18/Sept.;20/Sept.;03/Nov.;20/Mai.;06/Nov.;09/Nov.;01/Nov.
Theopiste etc. m.	27/Oct.
Theotimus	18/Dec.
Theuderius ab. Vienn.	29/Oct.
Thomas ap.	21/Dec.
Thomas ap. (Tr.)	03/Jul.
Thomas cf. O.P. [Aquin.]	08/Mars.;07/Mars.
Thomas ep. Cantuar.	04/Jan.;29/Dec.
Thomas ep. Cantuar. (Tr.)	07/Jul.
Thome ap. (Tr.)	10/Jul.;12/Jul.
Thome Aquin. cf. O.P.	03/Mars.
Thome ep. Cantuar. (Adv. reliq.)	07/Jun.
Thyrsi duc.	04/Oct.
Thyrsus	24/Sept.;28/Sept.;28/Jan.
Thyrsus m.	09/Mai.
Tiburtius	14/Avril.;11/Août.
Tillo mon. Lemovic.	07/Jan.
Timothei	25/Août.
Timothei ap. m. (Adv. reliq.)	05/Mars.
Timotheus	22/Août.;23/Août.
Timotheus ap.	25/Jan.;08/Jan.;24/Jan.
Timotheus etc. mm. Rom.	23/Mai.;22/Mai.
Timotheus m.	18/Avril.;19/Avril.;19/Oct.
Timotheus m. in Maced.	06/Avril.;07/Avril.
Timotheus m. Sirm.	15/Mai.
Timotheus m. [Rom.?]	21/Mai.
Torlaci ep. Skalholt.	23/Dec.
Torpes m. Foroiul.	16/Mai.;17/Mai.;18/Mai.
Torpes m. Pisan.	27/Avril.;29/Avril.
Torquatus ep. Tricastin.	31/Jan.
Tr.)	05/Jul.;04/Jul.
Traclea v.	15/Jul.
Tranquillinus m. Rom.	06/Jul.
Troecia v. Ruthen.	08/Jun.;16/Août.
Troianus ep. Xanton. (Tr.)	01/Dec.
Trophimus ep. Arelat.	30/Dec.
Trophimus ep. Arelat. (Oct.)	05/Jan.
Trudberti m.	26/Avril.
Trudo pb. in Hasb.	23/Nov.
Trudonis pb.	24/Nov.
Tryphon	10/Nov.
Tryphonis m.	03/Fev.
Turiavus ep. Dol.	13/Jul.
Turibius ep. Cenoman.	16/Avril.
Turribii	24/Jul.
Tyrio m. Nicomed.	22/Dec.
Ubaldus ep. Eugub.	17/Mai.;16/Mai.
Udalrici ep. August.	10/Jul.
Udalrici ep. August. (Inv.)	16/Jul.
Udalrici ep. August. (Oct.)	11/Jul.
Udalricus cf.	09/Jul.
Udalricus ep. August. Vind.	04/Jul.
Uldalrici ep. August. (Tr.)	04/Avril.;05/Avril.
Ulphus m. Trec.	22/Jan.
Urbani pp. m.	20/Mai.
Urbanus ep. Lingon.	23/Jan.
Urbanus pp. m.	25/Mai.
Urbicius ep. Mett.	20/Mars.
Ursicini mon. Luxov.	20/Dec.
Ursicinus ep. Senon.	24/Jul.
Ursicius ep. Cadurc.	13/Dec.
Ursinus ep. Biturig.	09/Nov.;29/Dec.;30/Dec.
Ursinus ep. Biturig. (Tr.)	11/Jun.;12/Jun.
Ursmarus ep. in Belg.	18/Avril.
Ursula	22/Oct.;21/Oct.
Ursus ab. Turon.	28/Jul.
Ursus ep.	13/Nov.
Ursus ep. Autissiod.	30/Jul.
Ursus ep. Trec.	26/Jul.;25/Jul.
Ursus mm. [e Leg. Theb.]	30/Sept.
Ursus pb. August. Pr.	01/Fev.;29/Jan.
Valentia m.	05/Oct.
Valentianus ep.	15/Dec.
Valentini ep. Interamn. m.	15/Fev.
Valentini ep. Patav.	07/Jan.
Valentini ep. Patav. (Tr.)	04/Août.
Valentini ep. Trever.	16/Jul.
Valentinus	16/Dec.;11/Dec.;03/Nov.
Valentinus cf.	11/Mai.
Valentinus ep. Interamn.	13/Fev.
Valentinus m. Raven.	15/Nov.
Valentinus pb. m. Rom.	14/Fev.
Valeria m. Lemovic.	12/Dec.
Valeria v. Camerac.	08/Oct.
Valeria v. m. Lemovic.	10/Dec.
Valeriani m.	16/Sept.;11/Août.
Valerianus	14/Avril.
Valerianus ep. Autissiod.	06/Mai.
Valerianus ep. m. in Afr.	14/Dec.
Valerianus m. Antioch.	23/Août.
Valerianus m. in Burgund.	15/Sept.
Valerius ep. Caesaraug.	29/Jan.
Valerius m. Lingon.	23/Oct.;22/Oct.
Valerius mm. Suession.	14/Jun.
Valerius [al. Valerianus]	20/Nov.
Valus pb. Autissiod.	22/Mai.
Vasius ep. Xanton.	16/Avril.
Vedasti ep. Atreb. m.	12/Fev.
Vedastus ep. Atrebat.	05/Fev.;01/Mars.;06/Fev.;01/Oct.;07/Fev.
Vedastus ep. Atrebat. (Relat.)	15/Jul.
Vedastus ep. Atrebat. (Tr.)	26/Oct.
Venantius ab. Lirin.	30/Mai.;02/Mars.;21/Mai.
Venantius ab. Turon.	13/Oct.;11/Oct.;12/Oct.
Venantius cf.	17/Jul.
Venantius ep. m. in Dalmat.	01/Avril.
Venantius m. Camerin.	15/Mai.
Venerandus mm. Ebroic.	25/Mai.
Venerandus mm. Ebroic. (Ost.)	02/Oct.
Veranus ep. Cavallic.	13/Nov.;11/Nov.;10/Nov.;20/Oct.;19/Oct.
Veredemus ep. Avenion.	17/Jun.
Verene v.	02/Sept.;31/Août.
Verolus pb. Veron.	16/Jun.
Victor	21/Jul.;24/Jan.;23/Jul.;12/Jan.;19/Sept.;30/Sept.;18/Sept.;14/Mai.;24/Mai.;13/Mai.;04/Fev.
Victor (Ddeic. eccl. Paris.)	05/Jun.
Victor ep. m. Rom.	19/Avril.;21/Avril.;20/Avril.
Victor m.	12/Avril.
Victor m. Colon. [soc. Gereonis]	10/Oct.
Victor m. Mediolan.	08/Mai.
Victor m. Ravenn.	12/Nov.
Victor m. Thessalon.	29/Mars.;30/Mars.;17/Oct.
Victor m. [Rom.?]	28/Mai.
Victor mm. Alexand.	31/Jan.
Victor pb. Trec.	26/Fev.
Victoria mm. Cordub.	17/Nov.
Victoria v. m. Rom.	23/Dec.
Victorianus ep. in Hispan.	11/Jan.
Victorianus m. Carthag.	23/Mars.;24/Mars.
Victorianus m. Isauri	16/Mai.
Victorianus m. [e IV Coron.]	08/Jul.
Victoricus mm. Legion.	30/Oct.
Victorin ep. m. Pettav.	02/Nov.
Victorinus	07/Mars.;25/Fev.;06/Mars.
Victorinus ep. m. Amitern.	24/Jul.
Victorinus ep. m. Com.	06/Sept.;05/Sept.;04/Sept.
Victorinus m.	21/Fev.
Victorinus m. in Afr.	02/Dec.
Victoris	20/Fev.
Victoris etc. m.	09/Oct.
Victoris m.	10/Sept.
Victoris Mauri m.	07/Mai.
Victoris pp.	18/Avril.
Victoris pp. m.	28/Jul.
Victricis	05/Dec.
Victricius ep. Rotomag.	07/Août.
Victurius ep. Cenoman.	09/Jul.
Vigilii ep. Trident. m.	27/Jun.;26/Jun.
Vigilius ep. Autissiod.	11/Mars.
Vigilius ep. Autissiod. (Tr.)	28/Nov.
Vigor ep. Baioc.	01/Nov.
VII fil. m.	23/Nov.
Vincentianus ab. Lirin.	18/Dec.
Vincentii Ferrar. cf. O.P.	06/Avril.
Vincentii m. (Inv.)	26/Sept.
Vincentius	22/Jan.;23/Sept.;30/Jan.;27/Oct.
Vincentius cf. OP [Ferrarius]	04/Avril.;05/Avril.
Vincentius ep.	01/Sept.
Vincentius etc. mm. Rom.	25/Août.
Vincentius m.	24/Avril.
Vincentius Madalgarius cf.	14/Jul.
Vincentius mm. in Umbr.	06/Jun.
Vindemialis mm. Perus.	01/Jun.
Vindicianus ep. Camerac.	25/Jun.
Virgilii ep. Salisb. (Depos.)	27/Nov.
Virgilii ep. Salisb. (Inv.)	16/Fev.
Virgilii ep. Salisb. (Oct.)	04/Dec.;03/Oct.
Virgilii ep. Salisb. (Tr.)	24/Sept.
Virgines VII mm.	08/Avril.;09/Avril.
Virgines XI mil. mm.	21/Oct.
Virginum XI mil. m. (Tr.)	03/Mars.;11/Fev.
Vitalis	28/Avril.;09/Jan.;04/Nov.
Vitalis m.	27/Fev.;23/Fev.;08/Jan.;25/Avril.
Vitalis mm. Raven.	20/Jun.
Viti	10/Mars.
Vitonus ep. Virdun.	09/Nov.
Vitus	15/Jun.
Viventiolus ep. Lugdun.	12/Jul.;11/Jul.
Viventius pb. in Burgund.	14/Jan.;13/Jan.
Vivianus ep. Xanton.	28/Août.;26/Août.
Volusianus ep. Turon.	18/Jan.
Vulfardus cf.	03/Jun.
Vulfrannus ep. Senon.	15/Oct.
Vulfrannus ep. Senon. (Tr.)	20/Mars.
Vulmarus ab. Samar.	20/Jul.
Walaricus ab. Ambian.	12/Dec.
Walaricus ab. Leucon.	01/Avril.
Walaricus er. Lemovic.	10/Jan.
Walbertus ab. Luxov.	02/Mai.
Walburgis v.	01/Mai.;04/Août.
Walburgis v. (Tr.)	12/Oct.
Walburgis v. Heynh.	25/Fev.
Walderici cf.	16/Oct.
Waldetrudis ab.	03/Fev.
Waldrada abb. Mett.	04/Mai.
Wandregisilus ab.	22/Jul.
Wasnulphus cf. in Hannon.	01/Oct.
Wattonis (Tr.)	31/Jul.
Wenceslai r. Bohem. (Recoll. ossium)	27/Jun.
Wenceslai r. Bohem. m. (Oct.)	05/Oct.
Wenceslai r. Bohem. m. (Tr.)	05/Mars.;04/Mars.
Wenceslaus dux Bohem.	28/Sept.
Wendalini cf.	24/Avril.;21/Oct.
Wendalini cf. (Tr.)	05/Jul.
Wenefreda v.	03/Nov.
Werenfridi pb.	14/Août.
Whitburga v.	17/Mars.
Wigbertus cf. german.	13/Août.
Wilhelmi abb. (Tr. Brachii)	30/Nov.
Wilhelmi cf.	10/Fev.
Willehadi ep. Brem.	09/Nov.
Willehadi ep. Brem. (Oct.)	15/Nov.
Willehadi ep. Brem. (Ordin.)	13/Jul.
Willibaldi ep. Eystett. (Oct.)	14/Jul.
Willibaldus ep. Eystett.	07/Jul.;08/Jul.
Willibrordus ep. Traiect.	08/Nov.;07/Nov.
Winebaldus ab. Eystett.	18/Dec.
Winebaudus ab. Trec.	06/Avril.
Winebaudus cf.	29/Mai.
Winnocus ab.	06/Nov.
Wironis ep. Rurimund.	08/Mai.
Wolfgangi ep. Ratisb.	31/Oct.;20/Jun.
Wolfgangi ep. Ratisb. (Tr.)	07/Oct.
Wolfgangus ep. Ratisp.	30/Oct.
Wulstanus ep. Wigorn.	19/Jan.
Zacharias pph.	10/Jun.
Zacharie pph.	06/Sept.
Zenobius ep. Florent.	25/Mai.
Zenobius ep. Florent. (Tr.)	26/Jan.
Zenon	02/Sept.;03/Sept.
Zenon ep. Veron.	01/Dec.
Zenon ep. Veron. (Consecr.)	08/Dec.
Zenon ep. Veron. (Depos.)	12/Avril.
Zenon et ss. mm. [Rom. vel. Tomis]	09/Jul.
Zenon mm. Nicopol.	20/Dec.
Zenon mm. Rom.	14/Fev.
Zenonis	08/Jul.;22/Jun.
Zenonis ep. Veron. (Consecr.)	09/Dec.
Zenonis m.	15/Fev.
Zephyrinus pp.	26/Août.;23/Août.
Zoe m.	05/Jul.
Zoili m.	06/Oct.
Zoili pb.	27/Dec.
Zoilus m. Cordub.	27/Jun.
Zosimi	15/Jul.
Zosimus	19/Dec.
Zosimus ep.	22/Oct.
Zotici	11/Fev.
Zoticus etc. mm. Rom.	10/Fev.;08/Fev.;06/Fev.
Zoticus m. Noviod.	04/Jun.
